City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,siocon,7.7061,122.1353,151.3777777777778,54,83,2.17,PH,1681447730
107,saint-philippe,-21.3585,55.7679,149.1277777777778,78,96,0.96,RE,1681447730
108,grafton,42.207,-71.6856,146.29444444444445,49,33,4.3,US,1681447731
109,soyo,-6.1349,12.3689,148.46666666666667,79,77,2.12,AO,1681447731
110,castro,-24.7911,-50.0119,142.64444444444445,93,88,1.51,BR,1681447732
111,provideniya,64.3833,-173.3,128.45,48,0,5.0,RU,1681447732
112,juneau,58.3019,-134.4197,136.50555555555556,97,100,1.54,US,1681447557
113,pangody,65.85,74.4859,125.21666666666667,89,67,7.49,RU,1681447733
114,hobyo,5.3505,48.5268,150.17777777777778,71,100,5.42,SO,1681447734
115,qaanaaq,77.484,-69.3632,125.65000000000002,73,9,2.85,GL,1681447734
116,vanavara,60.34,102.2797,134.5666666666667,93,100,5.22,RU,1681447734
117,pevek,69.7008,170.3133,124.76666666666667,91,92,1.9,RU,1681447735
118,baiyin,36.5583,104.2081,139.64444444444445,37,99,0.25,CN,1681447735
119,avarua,-21.2078,-159.775,147.8777777777778,65,20,0.51,CK,1681447736
120,barabai,-2.5833,115.3833,151.76666666666668,59,72,1.57,ID,1681447736
121,torbay,47.6666,-52.7314,135.25555555555556,93,40,5.66,CA,1681447736
122,hope,33.6671,-93.5916,143.43333333333334,77,87,2.72,US,1681447529
123,ashland,40.8167,-82.2665,142.98888888888888,46,11,0.6,US,1681447737
124,kodiak,57.79,-152.4072,134.93333333333334,87,100,0.0,US,1681447738
125,richards bay,-28.783,32.0377,145.42222222222222,86,85,2.99,ZA,1681447738
126,takoradi,4.8845,-1.7554,148.59444444444446,87,75,2.79,GH,1681447738
127,kapaa,22.0752,-159.319,148.4111111111111,81,14,8.23,US,1681447739
128,yerbogachen,61.2767,108.0108,133.50555555555556,93,100,7.05,RU,1681447740
129,amapa,1.0,-52.0,146.42777777777778,99,100,0.46,BR,1681447740
130,canberra,-35.2835,149.1281,145.96111111111114,56,75,3.6,AU,1681447513
131,vao,-22.6667,167.4833,147.1,89,100,5.65,NC,1681447741
132,asau,46.4333,26.4,135.92222222222225,75,40,0.38,RO,1681447742
133,albany,42.6001,-73.9662,144.29444444444445,65,23,2.25,US,1681447731
134,klyuchi,52.2667,79.1667,142.07777777777778,35,100,6.48,RU,1681447742
135,lasa,46.6166,10.7002,135.83333333333334,95,100,3.56,IT,1681447743
136,skagen,57.7209,10.5839,137.58333333333331,90,60,4.7,DK,1681447743
137,san rafael del sur,11.8485,-86.4384,149.27222222222224,66,85,6.06,NI,1681447744
138,hailey,43.5196,-114.3153,133.63333333333335,74,0,2.24,US,1681447745
139,tual,-5.6667,132.75,149.97777777777776,71,16,2.67,ID,1681447745
140,ilhabela,-23.7781,-45.3581,146.58333333333334,85,3,1.35,BR,1681447553
141,labuhan,-6.8844,112.2051,150.8,67,98,3.23,ID,1681447746
142,storforshei,66.4043,14.5233,134.4611111111111,44,0,5.66,NO,1681447746
143,talara,-4.5772,-81.2719,149.1888888888889,74,100,4.06,PE,1681447747
144,camacupa,-12.0167,17.4833,142.0666666666667,96,75,0.34,AO,1681447747
145,kupang,-10.1667,123.5833,151.37222222222223,79,75,5.66,ID,1681447748
146,hambantota,6.1241,81.1185,151.29999999999998,84,20,1.54,LK,1681447748
147,iquique,-20.2208,-70.1431,144.5388888888889,80,13,1.07,CL,1681447748
